function_name,pull_size,replica_num,avg_time
resnet18,44.67396259307861,1,5.0
resnet18,44.67396259307861,2,5.0
resnet18,44.67396259307861,3,6.0
resnet18,44.67396259307861,4,5.5
resnet18,44.67396259307861,5,6.2
resnet18,44.67396259307861,6,6.333333333333333
resnet18,44.67396259307861,7,6.571428571428571
resnet18,44.67396259307861,8,6.75
resnet18,44.67396259307861,9,7.444444444444445
resnet18,44.67396259307861,10,7.8
resnet18,44.67396259307861,11,7.818181818181818
resnet18,44.67396259307861,12,7.833333333333333
resnet18,44.67396259307861,13,10.846153846153847
resnet18,44.67396259307861,14,8.428571428571429
resnet18,44.67396259307861,15,12.266666666666667
resnet18,44.67396259307861,16,10.1875
resnet18,44.67396259307861,17,8.823529411764707
resnet18,44.67396259307861,18,10.5
resnet18,44.67396259307861,19,11.947368421052632
resnet18,44.67396259307861,20,12.35
resnet18,44.67396259307861,21,13.142857142857142
resnet18,44.67396259307861,22,11.727272727272727
resnet18,44.67396259307861,23,12.217391304347826
resnet18,44.67396259307861,24,11.625
resnet18,44.67396259307861,25,14.72
resnet18,44.67396259307861,26,13.038461538461538
resnet18,44.67396259307861,27,13.37037037037037
resnet18,44.67396259307861,28,15.0
resnet18,44.67396259307861,29,13.344827586206897
resnet18,44.67396259307861,30,15.366666666666667
resnet18,44.67396259307861,31,15.35483870967742
resnet18,44.67396259307861,32,18.34375
