function_name,pull_size,replica_num,avg_time
shufflenet,8.875454902648926,1,4.0
shufflenet,8.875454902648926,2,4.0
shufflenet,8.875454902648926,3,4.666666666666667
shufflenet,8.875454902648926,4,4.0
shufflenet,8.875454902648926,5,4.8
shufflenet,8.875454902648926,6,5.5
shufflenet,8.875454902648926,7,5.0
shufflenet,8.875454902648926,8,5.125
shufflenet,8.875454902648926,9,5.333333333333333
shufflenet,8.875454902648926,10,5.4
shufflenet,8.875454902648926,11,5.636363636363637
shufflenet,8.875454902648926,12,6.583333333333333
shufflenet,8.875454902648926,13,7.538461538461538
shufflenet,8.875454902648926,14,6.571428571428571
shufflenet,8.875454902648926,15,7.0
shufflenet,8.875454902648926,16,6.9375
shufflenet,8.875454902648926,17,7.0
shufflenet,8.875454902648926,18,7.611111111111111
shufflenet,8.875454902648926,19,8.894736842105264
shufflenet,8.875454902648926,20,8.1
shufflenet,8.875454902648926,21,8.571428571428571
shufflenet,8.875454902648926,22,8.454545454545455
shufflenet,8.875454902648926,23,8.304347826086957
shufflenet,8.875454902648926,24,9.75
shufflenet,8.875454902648926,25,8.68
shufflenet,8.875454902648926,26,9.423076923076923
shufflenet,8.875454902648926,27,10.407407407407407
shufflenet,8.875454902648926,28,10.321428571428571
shufflenet,8.875454902648926,29,11.413793103448276
shufflenet,8.875454902648926,30,11.9
shufflenet,8.875454902648926,31,15.709677419354838
shufflenet,8.875454902648926,32,12.40625

