function_name,pull_size,replica_num,avg_time
mobilenet,13.623242378234863,1,6.0
mobilenet,13.623242378234863,2,8.0
mobilenet,13.623242378234863,3,9.666666666666666
mobilenet,13.623242378234863,4,13.75
mobilenet,13.623242378234863,5,15.6
mobilenet,13.623242378234863,6,17.166666666666668
mobilenet,13.623242378234863,7,19.285714285714285
mobilenet,13.623242378234863,8,25.375
mobilenet,13.623242378234863,9,24.555555555555557
mobilenet,13.623242378234863,10,26.8
mobilenet,13.623242378234863,11,27.636363636363637
mobilenet,13.623242378234863,12,27.416666666666668
mobilenet,13.623242378234863,13,29.23076923076923
mobilenet,13.623242378234863,14,29.285714285714285
mobilenet,13.623242378234863,15,30.733333333333334
mobilenet,13.623242378234863,16,30.5625
mobilenet,13.623242378234863,17,32.470588235294116
mobilenet,13.623242378234863,18,31.5
mobilenet,13.623242378234863,19,32.421052631578945
mobilenet,13.623242378234863,20,33.35
mobilenet,13.623242378234863,21,33.61904761904762
mobilenet,13.623242378234863,22,33.31818181818182
mobilenet,13.623242378234863,23,34.130434782608695
mobilenet,13.623242378234863,24,34.958333333333336
mobilenet,13.623242378234863,25,35.56
mobilenet,13.623242378234863,26,36.42307692307692
mobilenet,13.623242378234863,27,35.888888888888886
mobilenet,13.623242378234863,28,36.142857142857146
mobilenet,13.623242378234863,29,37.37931034482759
mobilenet,13.623242378234863,30,37.03333333333333
