function_name,pull_size,replica_num,avg_time
mnist,6.255644798278809,1,4.0
mnist,6.255644798278809,2,4.0
mnist,6.255644798278809,3,4.333333333333333
mnist,6.255644798278809,4,4.75
mnist,6.255644798278809,5,4.6
mnist,6.255644798278809,6,5.166666666666667
mnist,6.255644798278809,7,5.571428571428571
mnist,6.255644798278809,8,5.625
mnist,6.255644798278809,9,5.888888888888889
mnist,6.255644798278809,10,5.9
mnist,6.255644798278809,11,6.2727272727272725
mnist,6.255644798278809,12,6.166666666666667
mnist,6.255644798278809,13,6.538461538461538
mnist,6.255644798278809,14,6.5
mnist,6.255644798278809,15,7.4
mnist,6.255644798278809,16,7.6875
mnist,6.255644798278809,17,9.0
mnist,6.255644798278809,18,8.166666666666666
mnist,6.255644798278809,19,8.578947368421053
mnist,6.255644798278809,20,9.35
mnist,6.255644798278809,21,9.0
mnist,6.255644798278809,22,8.454545454545455
mnist,6.255644798278809,23,9.217391304347826
mnist,6.255644798278809,24,9.666666666666666
mnist,6.255644798278809,25,9.88
mnist,6.255644798278809,26,11.461538461538462
mnist,6.255644798278809,27,11.88888888888889
mnist,6.255644798278809,28,11.071428571428571
mnist,6.255644798278809,29,11.758620689655173
mnist,6.255644798278809,30,11.733333333333333
