function_name,pull_size,replica_num,avg_time
resnet50,97.80920505523682,1,6.0
resnet50,97.80920505523682,2,6.5
resnet50,97.80920505523682,3,8.0
resnet50,97.80920505523682,4,10.0
resnet50,97.80920505523682,5,10.4
resnet50,97.80920505523682,6,12.166666666666666
resnet50,97.80920505523682,7,13.571428571428571
resnet50,97.80920505523682,8,13.875
resnet50,97.80920505523682,9,19.77777777777778
resnet50,97.80920505523682,10,17.6
resnet50,97.80920505523682,11,20.0
resnet50,97.80920505523682,12,18.75
resnet50,97.80920505523682,13,21.846153846153847
resnet50,97.80920505523682,14,22.071428571428573
resnet50,97.80920505523682,15,22.133333333333333
resnet50,97.80920505523682,16,23.9375
resnet50,97.80920505523682,17,28.647058823529413
resnet50,97.80920505523682,18,28.5
resnet50,97.80920505523682,19,31.789473684210527
resnet50,97.80920505523682,20,30.1
resnet50,97.80920505523682,21,31.142857142857142
resnet50,97.80920505523682,22,31.318181818181817
resnet50,97.80920505523682,23,33.0
resnet50,97.80920505523682,24,37.583333333333336
resnet50,97.80920505523682,25,38.12
resnet50,97.80920505523682,26,43.03846153846154
resnet50,97.80920505523682,27,43.74074074074074
resnet50,97.80920505523682,28,46.0
resnet50,97.80920505523682,29,40.827586206896555
resnet50,97.80920505523682,30,49.3
resnet50,97.80920505523682,31,50.03225806451613
resnet50,97.80920505523682,32,49.125
